"mention_name","mention_type","mention_popularity","mention_address","zip_code","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles"
"seattle center","stream","1","""Seattle Creek, Siskiyou County, California, United States of America""","","-123.3031612","41.8430395","3","""anaheim_and_fremont.json,fremont_and_temecula.json,fremont_and_riverside.json"""
"seaview hotel","hotel","1","""Seaview Hotel, Vicente Terrace, Santa Monica, Los Angeles County, California, 90401, United States of America""","90401","-118.491224348628","34.0079837","6","""berkeley_and_malibu.json,berkeley_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"""
"seaway inn","motel","1","""Seaway Inn, West Cliff Drive, Beach & Boardwalk District (Commercial), Downtown, Santa Cruz, Santa Cruz County, California, 95060, United States of America""","95060","-122.025761443547","36.96229925","1","oakland_and_santa cruz.json"
"second beach","place_of_worship","1","""Second Church of Christ Scientist, Cedar Avenue, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America""","90802","-118.1952544","33.7748751","1","beverly hills_and_big bear lake.json"
"second street","residential","2","""Second Street, Walnut Hills Mobile Home Park, Pomona, Los Angeles County, California, 91765, United States of America""","91765","-117.8182676","34.0440456","18","""avalon_and_santa cruz.json,berkeley_and_santa ana.json,carlsbad_and_santa cruz.json,huntington beach_and_los angeles.json,huntington beach_and_oakland.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,malibu_and_santa cruz.json,newport beach_and_santa cruz.json,pasadena_and_santa cruz.json,san bernardino_and_santa cruz.json,san francisco_and_santa ana.json,santa ana_and_santa cruz.json,santa clarita_and_santa cruz.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json"""
"sedona","residential","7","""Sedona, Foothill Ranch, Lake Forest, Orange County, California, 92610, United States of America""","92610","-117.6689202","33.6916439","34","""anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,beverly hills_and_sausalito.json,bakersfield_and_santa clarita.json,bakersfield_and_santa cruz.json,beverly hills_and_fresno.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa barbara.json,beverly hills_and_santa cruz.json,beverly hills_and_temecula.json,big bear lake_and_napa.json,fresno_and_san bernardino.json,fresno_and_santa barbara.json,huntington beach_and_san luis obispo.json,irvine_and_pasadena.json,los angeles_and_mammoth lakes.json,los angeles_and_napa.json,los angeles_and_riverside.json,monterey_and_temecula.json,napa_and_san bernardino.json,napa_and_san luis obispo.json,oakland_and_santa barbara.json,riverside_and_santa clarita.json,san diego_and_san luis obispo.json,san francisco_and_temecula.json,san luis obispo_and_temecula.json,santa barbara_and_temecula.json,santa clarita_and_temecula.json"""
"see canyon road","residential","1","""See Canyon Road, Avila Beach, San Luis Obispo County, California, 93424, United States of America""","93424","-120.7153599","35.19325","1","san jose_and_san luis obispo.json"
"seine river","residential","2","""Seine Court, Valle Vista, Riverside County, California, 92554, United States of America""","92554","-116.8977992","33.7610933","2","""avalon_and_riverside.json,beverly hills_and_san francisco.json"""
"selland arena","stadium","1","""Selland Arena, 700, M Street, Fresno County, California, 93721, United States of America""","93721","-119.78270417403","36.73294765","1","avalon_and_fresno.json"
"seoul","residential","1","""Seoul Court, Sabre City, Sacramento County, California, 95843, United States of America""","95843","-121.3705199","38.726279","1","long beach_and_oakland.json"
"sepulveda","suburb","1","""Sepulveda, LA, Los Angeles County, California, United States of America""","","-118.4681392","34.2308369","1","beverly hills_and_san bernardino.json"
"sepulveda blvd","primary","1","""Sepulveda Boulevard, Encino, LA, Los Angeles County, California, 90049, United States of America""","90049","-118.4825211","34.1172036","3","""los angeles_and_san diego.json,pasadena_and_san diego.json,san diego_and_santa clarita.json"""
