attraction_in,attraction_longitude,attraction_latitude,attraction_in_file
Benicia,-122.1585776,38.049365,benicia.json
Sonoma,-122.8473387,38.5110803,sonoma.json
Martinez,-122.134132,38.0193657,martinez.json
Pleasant Hill,-122.0607962,37.9479786,pleasant_hill.json
Oakville,-122.4022006,38.4368549,oakville.json
Walnut Creek,-122.0649629,37.9063131,walnut_creek.json
Calistoga,-122.583325948608,38.582615,calistoga.json
Glen Ellen,-122.5390728,38.355533,glen_ellen.json
Santa Rosa,-122.7144313,38.4404675,santa_rosa.json
Fulton,-122.7699885,38.4962997,fulton.json
Kenwood,-122.5460934,38.4138005,kenwood.json
Windsor,-122.804427291464,38.519758,windsor.json
Guerneville,-122.987128549631,38.5116609,guerneville.json
Monte Rio,-123.019645539318,38.466359,monte_rio.json
Bodega Bay,-123.0061117,38.273529,bodega_bay.json
Healdsburg,-122.8701379,38.6106812,healdsburg.json
Duncans Mills,-123.0550012,38.453803,duncans_mills.json
Forestville,-122.861584174866,38.4833405,forestville.json
Sebastopol,-122.8238805,38.4021359,sebastopol.json
Geyserville,-122.9024963,38.707687,geyserville.json
Rohnert Park,-122.7010983,38.3396367,rohnert_park.json
Yountville,-122.3608104,38.4015781,yountville.json
Angwin,-122.448651445455,38.5783555,angwin.json
Deer Park,-120.8232691,38.6818484,deer_park.json
Pope Valley,-122.4277569,38.6151837,pope_valley.json
Redding,-122.3916753,40.5863563,redding.json
Redwood National Park,-124.030095146171,41.27553155,redwood_national_park.json
Orick,-124.0597936,41.2867896,orick.json
Eureka,-124.1636728,40.8020712,eureka.json
Crescent City,-124.149861883096,41.8528065,crescent_city.json
Weott,-123.9226033,40.3214878,weott.json
Myers Flat,-123.8703145,40.2662524,myers_flat.json
Redway,-123.822705490154,40.12179,redway.json
Redcrest,-123.950042,40.4004168,redcrest.json
Garberville,-123.7961393,40.1005685,garberville.json
Leggett,-123.7141883,39.8657071,leggett.json
Rio Dell,-124.1064368,40.4993013,rio_dell.json
Carlotta,-124.0606038,40.537357,carlotta.json
Piercy,-123.794251,39.9662625,piercy.json
Ferndale,-124.2639441,40.5762406,ferndale.json
Fortuna,-124.156034,40.5974067,fortuna.json
Loleta,-124.2244728,40.6408678,loleta.json
Smith River,-124.1470273,41.9281678,smith_river.json
Samoa,-124.1864517,40.8187372,samoa.json
Trinidad,-124.1431245,41.059291,trinidad.json
Blue Lake,-123.9839487,40.8829072,blue_lake.json
Arcata,-124.0828395,40.8665166,arcata.json
McKinleyville,-124.102789674524,40.966005,mckinleyville.json
Whiskeytown,-122.5597372,40.6387601,whiskeytown.json
Lakehead,-122.3791776,40.90515,lakehead.json
Shasta Lake,-122.3626506,40.6799638,shasta_lake.json
Lassen Volcanic National Park,-121.404335848657,40.49138385,lassen_volcanic_national_park.json
Mount Shasta,-122.3105665,41.3098746,mount_shasta.json
McCloud,-122.135266242664,41.2497685,mccloud.json
Dunsmuir,-122.2719528,41.2082089,dunsmuir.json
Castella,-122.3177876,41.1384854,castella.json
Cassel,-121.5477608,40.9190499,cassel.json
Mineral,-121.5949803,40.3476588,mineral.json
Fall River Mills,-121.441177633828,41.004556,fall_river_mills.json
Hat Creek,-121.4682867,40.6173462,hat_creek.json
Old Station,-121.4308104,40.6751608,old_station.json
Burney,-121.672782520342,40.8884145,burney.json
Susanville,-120.6530062,40.4162842,susanville.json
Westwood,-121.010399151458,40.3024675,westwood.json
Quincy,-120.953573847289,39.9309945,quincy.json
Taylorsville,-120.839943709363,40.0632855,taylorsville.json
Portola,-120.4691033,39.8104567,portola.json
Blairsden,-120.60878036923,39.7753335,blairsden.json
Graeagle,-120.64844570134,39.7533435,graeagle.json
Clio,-120.565078536214,39.7495505,clio.json
Los Angeles,-118.2439408,34.0543942,los_angeles.json
Sierraville,-120.36743,39.5896256,sierraville.json
Soda Springs,-123.3158409,39.0240651,soda_springs.json
Norden,-120.3572124,39.3178273,norden.json
Sierra City,-120.6338272,39.5657329,sierra_city.json
Beverly Hills,-118.4003562,34.0736204,beverly_hills.json
Marina del Rey,-118.4508017,33.9774017,marina_del_rey.json
Truckee,-120.1832532,39.327962,truckee.json
Culver City,-118.3964664,34.0211224,culver_city.json
Newhall,-118.5291916,34.3798765,newhall.json
South Lake Tahoe,-119.987846390157,38.929125,south_lake_tahoe.json
Santa Clarita,-118.5425859,34.3916641,santa_clarita.json
Castaic,-118.6228655,34.4888822,castaic.json
Bell Gardens,-118.1514587,33.9652918,bell_gardens.json
Gardena,-118.3070891,33.8883302,gardena.json
Compton,-118.2260433,33.8948824,compton.json
Saugus,-118.5168256,34.4493489,saugus.json
Paramount,-118.1707029,33.8984873,paramount.json
Hawthorne,-118.3477941,33.9113109,hawthorne.json
Bellflower,-118.1167678,33.8825705,bellflower.json
El Segundo,-118.3829549,33.9122175,el_segundo.json
Inglewood,-118.353131,33.9616801,inglewood.json
Tahoe City,-120.138803,39.1721291,tahoe_city.json
Lakewood,-118.1171913,33.8503463,lakewood.json
Burbank,-118.3258553,34.1816482,burbank.json
Long Beach,-118.158049215311,33.78538945,long_beach.json
Calabasas,-118.6440972,34.1446643,calabasas.json
Catalina Island,-118.424154004558,33.3890232,catalina_island.json
West Hollywood,-118.3617442,34.0900091,west_hollywood.json
Los Alamitos,-118.0772432,33.8038865,los_alamitos.json
Newport Beach,-117.92944,33.6170092,newport_beach.json
Santa Monica,-118.4869738,34.0195598,santa_monica.json
Glendale,-118.248367,34.1423455,glendale.json
Malibu,-116.5023561,33.7932142,malibu.json
