attraction_in,attraction_longitude,attraction_latitude,attraction_in_file
Llano,-122.7944822,38.4116331,llano.json
Keene,-118.5623116,35.2235728,keene.json
Tehachapi,-118.4489738,35.1321878,tehachapi.json
California City,-117.9859037,35.125801,california_city.json
Inyokern,-117.8125673,35.6468991,inyokern.json
Mojave,-118.1739644,35.0524699,mojave.json
Randsburg,-117.659854982562,35.369361,randsburg.json
Little Lake,-117.9067407,35.9366136,little_lake.json
Essex,-115.2449793,34.7336097,essex.json
Baker,-117.6675603,35.0421963,baker.json
Olancha,-117.999811836627,36.270251,olancha.json
Cima,-115.4991601,35.2377644,cima.json
Amboy,-115.744441,34.5577721,amboy.json
Independence,-118.205130028628,36.821987,independence.json
Lone Pine,-118.078359194897,36.583176,lone_pine.json
Tecopa,-116.216041513761,35.8465745,tecopa.json
Nipton,-115.2722139,35.4666593,nipton.json
Landers,-116.3930702,34.266114,landers.json
Newberry Springs,-116.6883643,34.8272104,newberry_springs.json
Shoshone,-116.312487151034,35.948652,shoshone.json
Rancho Palos Verdes,-118.3707682,33.7483311,rancho_palos_verdes.json
Rolling Hills Estates,-118.3581283,33.7877943,rolling_hills_estates.json
Palos Verdes Estates,-118.4018129,33.7872386,palos_verdes_estates.json
Lomita,-118.3195013,33.8036545,lomita.json
Torrance,-118.3406287,33.8358492,torrance.json
San Fernando,-118.4389718,34.2819461,san_fernando.json
Carson,-118.2517546,33.8322043,carson.json
Avalon,-118.3272611,33.34221,avalon.json
Carnelian Bay,-120.0818586,39.2268512,carnelian_bay.json
Tahoe Vista,-120.051905176108,39.248688,tahoe_vista.json
Kings Beach,-120.0227479,39.2438568,kings_beach.json
Olympic Valley,-120.2284916,39.1995817,olympic_valley.json
Squaw Valley,-119.2467849,36.7402261,squaw_valley.json
Spaulding,-120.0017079,37.505309,spaulding.json
Tahoma,-120.1282438,39.0674074,tahoma.json
Markleeville,-119.831282157267,38.6671855,markleeville.json
Hope Valley,-117.2669824,33.7647418,hope_valley.json
Lake Tahoe (California),-120.050511752934,39.0888982,lake_tahoe_(california).json
Twin Bridges,-120.1238444,38.8103726,twin_bridges.json
Kirkwood,-120.054509797594,38.690863,kirkwood.json
Placerville,-120.7985459,38.7296252,placerville.json
Camino,-120.6749301,38.7382366,camino.json
Fair Play,-120.6604854,38.5935173,fair_play.json
Pollock Pines,-120.577664368816,38.7497125,pollock_pines.json
Somerset,-121.9911179,41.8523707,somerset.json
Plymouth,-120.8446589,38.4818531,plymouth.json
Fiddletown,-120.755489,38.5037966,fiddletown.json
Coloma,-120.8902159,38.7999014,coloma.json
Lotus,-120.90855,38.801568,lotus.json
Shingle Springs,-120.940276207826,38.671727,shingle_springs.json
Drytown,-120.8543815,38.4410213,drytown.json
Lincoln,-121.342391957924,38.8598295,lincoln.json
El Dorado Hills,-121.059365948901,38.67950505,el_dorado_hills.json
Ione,-120.9327176,38.3526913,ione.json
Rescue,-120.9513888,38.7116667,rescue.json
Rocklin,-121.2357827,38.7907339,rocklin.json
Folsom,-121.1760582,38.6779591,folsom.json
Loomis,-121.193004,38.8212889,loomis.json
Newcastle,-121.1332805,38.8740658,newcastle.json
Valley Springs,-120.807103832756,38.1847255,valley_springs.json
Herald,-121.2443918,38.2957474,herald.json
Auburn,-121.0739896,38.8945939,auburn.json
Roseville,-121.185878161131,38.72338,roseville.json
San Andreas,-120.675382525556,38.1875605,san_andreas.json
Acampo,-121.2785587,38.1746398,acampo.json
Sloughhouse,-121.1938359,38.4957417,sloughhouse.json
Granite Bay,-121.185033445684,38.762173,granite_bay.json
Lodi,-121.387849546574,38.097198,lodi.json
Gold River,-121.2474744899,38.6248445,gold_river.json
Rancho Cordova,-121.3027279,38.5890723,rancho_cordova.json
Citrus Heights,-121.281061,38.7071247,citrus_heights.json
Fair Oaks,-123.3413983,39.3784978,fair_oaks.json
Sacramento,-121.4943995,38.5815719,sacramento.json
West Sacramento,-121.5302339,38.5804609,west_sacramento.json
Carmichael,-121.32172308683,38.6275665,carmichael.json
Nevada City,-121.0160593,39.2615606,nevada_city.json
Grass Valley,-121.053122977412,39.2086655,grass_valley.json
North Highlands,-121.387953718046,38.6710975,north_highlands.json
Woodland,-121.7733284,38.6786109,woodland.json
Clarksburg,-121.5271771,38.4204651,clarksburg.json
Elk Grove,-121.3716177,38.4087993,elk_grove.json
Walnut Grove,-121.504773526118,38.2503075,walnut_grove.json
Galt,-121.2999484,38.2546373,galt.json
Rio Vista,-121.6913438,38.1557502,rio_vista.json
Pittsburg,-121.8901231,38.0181745,pittsburg.json
Suisun City,-122.0402439,38.2382474,suisun_city.json
Clayton,-121.9357924,37.9410341,clayton.json
Antioch,-121.8057889,38.0049214,antioch.json
Vacaville,-121.9877443,38.3565773,vacaville.json
Concord,-122.0335623,37.9768525,concord.json
Fairfield,-122.0399662,38.2493581,fairfield.json
Foresthill,-120.825400633174,39.0019935,foresthill.json
Georgetown,-120.830230470459,38.9072855,georgetown.json
Colfax,-120.940584258093,39.092034,colfax.json
Wheatland,-121.4230132,39.0098947,wheatland.json
Sutter,-121.6970879,38.9509675,sutter.json
Yuba City,-121.6169107,39.1404477,yuba_city.json
Colusa,-122.2209562,39.1465578,colusa.json
Butte City,-121.989975,39.4646072,butte_city.json
Willows,-122.1935309,39.5233276,willows.json
Williams,-122.1494186,39.1546137,williams.json
Marysville,-121.5913515,39.1457247,marysville.json
Corning,-122.1791555,39.9276572,corning.json
Orland,-122.1911355,39.7471106,orland.json
Oroville,-121.5563589,39.5137752,oroville.json
Penn Valley,-121.192636653122,39.1948165,penn_valley.json
Vina,-120.11044,36.8805022,vina.json
Chico,-121.8374776,39.7284945,chico.json
Paradise,-121.6219176,39.7596061,paradise.json
Fallen Leaf,-120.0726845,38.8829632,fallen_leaf.json
Signal Hill,-118.1676041,33.8043856,signal_hill.json
Manhattan Beach,-118.4000146,33.8950839,manhattan_beach.json
Downey,-118.1325687,33.9400143,downey.json
Lake Los Angeles,-117.840395413977,34.6127395,lake_los_angeles.json
Cloverdale,-123.0172226,38.8054624,cloverdale.json
Hopland,-123.1163917,38.9729542,hopland.json
Ukiah,-123.207786,39.1501662,ukiah.json
Redwood Valley,-123.2044495,39.2654449,redwood_valley.json
Boonville,-123.366111,39.0091667,boonville.json
Comptche,-123.5911223,39.2648954,comptche.json
Willits,-123.3555601,39.4096043,willits.json
Philo,-123.4450092,39.0657324,philo.json
Mendocino,-123.4126398,39.3176491,mendocino.json
Little River,-123.7883472,39.2707318,little_river.json
Caspar,-123.8158487,39.3635049,caspar.json
Albion,-123.768625,39.2235117,albion.json
Fort Bragg,-123.802699105743,39.4447345,fort_bragg.json
Yorkville,-123.2144506,38.8979586,yorkville.json
Freestone,-122.9155515,38.3724152,freestone.json
Jenner,-123.1155587,38.4496365,jenner.json
Sea Ranch,-123.4544531,38.7151899,sea_ranch.json
Gualala,-123.529828,38.7674439,gualala.json
Point Arena,-123.6930725,38.908798,point_arena.json
Occidental,-122.931263151282,38.4010855,occidental.json
Petaluma,-122.613693402033,38.295411,petaluma.json
Novato,-122.568119,38.1061979,novato.json
Nicasio,-122.6985974,38.0615885,nicasio.json
Forest Knolls,-121.005225,39.2382274,forest_knolls.json
Bolinas,-122.6863732,37.9093702,bolinas.json
Lagunitas,-122.7022084,38.011312,lagunitas.json
San Rafael,-122.5310873,37.9735346,san_rafael.json
San Anselmo,-122.5615031,37.9744323,san_anselmo.json
Point Reyes Station,-122.814380617941,38.087933,point_reyes_station.json
Ross,-122.5549774,37.9624239,ross.json
Olema,-122.7880458,38.0407566,olema.json
Inverness,-122.845358417249,38.080911,inverness.json
Fairfax,-122.5879673,37.9872935,fairfax.json
Marshall,-122.8941618,38.1604766,marshall.json
Dillon Beach,-122.95520913129,38.2481035,dillon_beach.json
Tomales,-122.906304510241,38.2468075,tomales.json
Orinda,-122.1796887,37.8771476,orinda.json
Berkeley,-122.2728638,37.8708393,berkeley.json
Emeryville,-122.2865265,37.8314089,emeryville.json
Albany,-122.2977474,37.88687,albany.json
El Cerrito,-122.3014109,37.9154056,el_cerrito.json
Richmond,-122.3477485,37.9357576,richmond.json
El Sobrante,-122.2949893,37.9774476,el_sobrante.json
Hercules,-122.2885807,38.0171441,hercules.json
San Pablo,-122.3455262,37.9621457,san_pablo.json
Pacheco,-122.0752412,37.9835332,pacheco.json
Lafayette,-122.11802,37.8857582,lafayette.json
