mention_name,mention_type,mention_popularity,mention_address,mention_longitude,mention_latitude,no_of_blogFiles,mention_found_in_blogFiles,youTubeLinkIds
pico boulevard,primary,6,"Pico Boulevard, South Carthay, The Village Green, LA, Los Angeles County, California, 90035, United States of America",-118.3859303,34.0551848,29,"avalon_and_santa monica.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fremont_and_santa monica.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,san bernardino_and_santa monica.json,santa monica_and_temecula.json","IBkQOdJSeBQ,vtcmEiQACCc,6pAllDLDpLM"
el dorado street,residential,1,"El Dorado Street, Fresno County, California, 93721, United States of America",-119.8020522,36.7430942,1,huntington beach_and_stockton.json,"aLvj104kys8,d65FVFMEbWc,3OC2SpLaoys"
village inn,bar,1,"Village Inn, Bass Road, Morena Village, San Diego County, California, 91906, United States of America",-116.5052039,32.67969,1,bakersfield_and_newport beach.json,"ZlWLneJD_l0,i0KWvZ7EF98,fEi0LUWsvWM"
arctic ocean,residential,1,"Arctic Ocean Drive, Foothill Ranch, Lake Forest, Orange County, California, 92630, United States of America",-117.6890868,33.6671696,1,pismo beach_and_sausalito.json,"tYktWndX7rc,umAeFKF2uxA,dMgDOSTTXJs"
whidbey,residential,1,"Whidbey Street, Morro Bay, San Luis Obispo County, California, 93442, United States of America",-120.8649256,35.4060011,1,fremont_and_malibu.json,"klAYUPv9-LA,gHok1G_sXIU,zqH66wq4Em8"
torrance beach,primary,1,"Torrance Boulevard, Redondo Beach, Los Angeles County, California, 90277, United States of America",-118.3812709,33.8375426,1,beverly hills_and_long beach.json,"nPHBLgL8q7w,xAweGF_NimA,jUUWy1jT8Xk"
courtland,hamlet,1,"Courtland, Sacramento County, California, United States of America",-121.5685659,38.3310231,2,"oakland_and_stockton.json,riverside_and_sacramento.json","UpfLcAVv-JQ,psujAsi-j1k,M-EcpX_QnZY"
groveland wayside park,park,1,"Groveland Wayside Park, Main Street, Groveland, Tuolumne County, California, 95321-9444, United States of America",-120.2271335,37.8402052,1,mammoth lakes_and_santa barbara.json,"TqN1g1hmsqo,npfQejEA9Oc,cG0hlggloBI"
mall of victor valley,mall,1,"The Mall of Victor Valley, Amargosa Road, Victorville, San Bernardino County, California, 92392, United States of America",-117.347349,34.4736697,15,"avalon_and_big bear lake.json,bakersfield_and_big bear lake.json,berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_long beach.json,big bear lake_and_los angeles.json,big bear lake_and_malibu.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_pasadena.json,big bear lake_and_riverside.json,big bear lake_and_san diego.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json","T5UCbLKOmP8,68qhOW-eIIU,GBEQsLHnUXU"
us hwy 101,primary,10,"Highway 101, Solana Beach, San Diego County, California, 92075, United States of America",-117.2731974,32.9967358,66,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_napa.json,beverly hills_and_pismo beach.json,bakersfield_and_irvine.json,bakersfield_and_los angeles.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,fresno_and_irvine.json,fresno_and_san diego.json,huntington beach_and_san luis obispo.json,irvine_and_malibu.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san jose.json,huntington beach_and_malibu.json,los angeles_and_malibu.json,los angeles_and_napa.json,long beach_and_malibu.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pasadena.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa ana.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_santa monica.json,monterey_and_pasadena.json,malibu_and_monterey.json,newport beach_and_san francisco.json,newport beach_and_san luis obispo.json,oakland_and_san diego.json,oakland_and_santa clarita.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa monica.json,san francisco_and_santa clarita.json,sacramento_and_san diego.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa monica.json,santa cruz_and_santa monica.json","kmT6ZJYFcug,Khmt37qaxpQ,tTCOPh-nIVg"
redwood state parks,ranger_station,1,"Redwood National & State Parks, Thomas H. Kuchel Visitor Center, Redwood Highway, Humboldt County, California, 95555, United States of America",-124.090929444614,41.28686745,1,long beach_and_sacramento.json,"MglBOaOnzqM,Crzud2v12YA,Vcpaj6wWEb0"
