222,176,,,166
"santa monica pier",,,,
"santa nella",,,,
"santa rosa creek scenic drive",,,,
"santa ynez mountains",,,,
"seacrest beach resort",,,,
"sepulveda bl",,,,
"sf bay area",,,,
"shamel park",,,,
"sierras",,,,
"silicon valley",,,,
"solana beach",,,,
"soledad",,,,
"solvang",,,,
"south orange county",,,,
"southern california",,,,
"southern orange county beach",,,,
"spain",,,,
"spring street",,,,
"state beach",,,,
"state street",,,,
"states",,,,
"tejon",,,,
"tioga pass",,,,
"torrey pines state park",,,,
"united kingdom",,,,
"united states",,,,
"us",,,,
"us hwy 101",,,,
"usa",,,,
"venice",,,,
"venice beach",,,,
"ventura",,,,
"vincent thomas bridge",,,,
"washington",,,,
"watsonville",,,,
"west coast",,,,
"yosemite national park",,,,
