attraction_in,attraction_longitude,attraction_latitude,attraction_in_file,youTubeLinkIds
Garberville,-123.7961393,40.1005685,garberville.json,"j4Q3LjKDNbM,IviEzd02EKE,hiqcD-MDcAI"
Leggett,-123.7141883,39.8657071,leggett.json,"UlOVB_cj_t0,iv2162nClN4,3pMCIIUCQcM"
Rio Dell,-124.1064368,40.4993013,rio_dell.json,"ZE-3S1w1ESM,mSdv7YNMLn0,KTKiE040Dg4"
Carlotta,-124.0606038,40.537357,carlotta.json,"zRHCHzaULpY,1IYxTPz6nXM"
Piercy,-123.794251,39.9662625,piercy.json,"Nd_BiGYqylM,IIKd7zFsdkU"
Ferndale,-124.2639441,40.5762406,ferndale.json,"4pZB1NzCyDg,2NmyjMB0oW4,vJ7DckJOerA"
Fortuna,-124.156034,40.5974067,fortuna.json,"CS0k0ZSWYFo,TepVj43ax-8,3MhbsXTkZiQ"
Loleta,-124.2244728,40.6408678,loleta.json,"uQJd445n1ic,uvkSR-rgU6E,oeKFGsmxGiY"
Smith River,-124.1470273,41.9281678,smith_river.json,"y3fgUzcZIWE,JIBLxXl2Rz4,DZYXADCkfT8"
Samoa,-124.1864517,40.8187372,samoa.json,"3yzwZ72Kft4,uXZWq9VpMQs,atoUaGM94FM"
Trinidad,-124.1431245,41.059291,trinidad.json,"JfDHwKIG_qs,L7sgQl_qQy4,DHgioHUR6rQ"
Blue Lake,-123.9839487,40.8829072,blue_lake.json,"iBCu2M1iCNA,JgoInfWNvDU,wETgdf9FM-4"
Arcata,-124.0828395,40.8665166,arcata.json,"PcUX3lZ6gqo,KQM3IjS0mcM,BaYNR2xmcps"
McKinleyville,-124.102789674524,40.966005,mckinleyville.json,"FPdueV3l0SE,obrmL69ektM,cLPqcWOxCxc"
Whiskeytown,-122.5597372,40.6387601,whiskeytown.json,"S4tC92I7UJk,NgHG3J6Wk64"
Lakehead,-122.3791776,40.90515,lakehead.json,"nALohWVFjH8,CxIGcWMJ1IU,BMBG8q-kwmg"
Shasta Lake,-122.3626506,40.6799638,shasta_lake.json,"fIV-FfvjvTQ,aCI1wXH7KBw,7pv9x4rhSlY"
Lassen Volcanic National Park,-121.404335848657,40.49138385,lassen_volcanic_national_park.json,"SDkpRbrNk8M,WJ1YDcGxz2c"
Mount Shasta,-122.3105665,41.3098746,mount_shasta.json,"fIV-FfvjvTQ,P7SRtvN-ovU,6svne7Ah-xM"
McCloud,-122.135266242664,41.2497685,mccloud.json,kLhBpVTU7Rk
Dunsmuir,-122.2719528,41.2082089,dunsmuir.json,"4cUVH71rQtk,9xebMvPWEK8,zGIUDtGwNJ0"
Castella,-122.3177876,41.1384854,castella.json,"bwFrqBU94_k,nQkkO_uM3Wg,dT73i3ogtYg"
Cassel,-121.5477608,40.9190499,cassel.json,7ZAL_V-NsX0
Mineral,-121.5949803,40.3476588,mineral.json,"GOAqMw13gdg,JFmJ6fDebBc,DjPv6uKLSPY"
Fall River Mills,-121.441177633828,41.004556,fall_river_mills.json,"T1b3U6cahEI,jbe_ZbUazBk,in2XWiPb3CY"
Hat Creek,-121.4682867,40.6173462,hat_creek.json,"af2oTqExKgE,4gFEmAsS2Og,_-XNNuZUzOs"
Old Station,-121.4308104,40.6751608,old_station.json,"OvXGh_Pv6qg,htkZfQLK514,OZbWtUe5B3Q"
Burney,-121.672782520342,40.8884145,burney.json,"fIV-FfvjvTQ,0giLgFhuh_0,7dC64v3fMFQ"
Susanville,-120.6530062,40.4162842,susanville.json,"XcvMmzM8Izg,fcYUUQDHkyk,bD3zbSL-sgY"
Westwood,-121.010399151458,40.3024675,westwood.json,"wxKRKFx104o,EB3JVuqUMtM,5BrJlfAO3rU"
Quincy,-120.953573847289,39.9309945,quincy.json,"sOn-0y8Y6XE,Y-K3U4ArRaY,lE1TqeU-os0"
Taylorsville,-120.839943709363,40.0632855,taylorsville.json,"FvIL52BKBdM,5onrOsKn94s,DTJUL1cu3AA"
Portola,-120.4691033,39.8104567,portola.json,"1WL0FDho6UQ,qdyRVfixF74"
Blairsden,-120.60878036923,39.7753335,blairsden.json,"_idqQvojboE,NWMMspGe8cw,tjXcL2mhs0M"
Graeagle,-120.64844570134,39.7533435,graeagle.json,"tjXcL2mhs0M,2Jx1ce7RPIY,yNgFi0b-Fsc"
Clio,-120.565078536214,39.7495505,clio.json,"HTsbUPWyOog,NUZjBQbs92I,EgPrZfRF5iY"
Los Angeles,-118.2439408,34.0543942,los_angeles.json,"jtrF479Dzj4,Vc5jSKOsgCA,bTvr_2v-0HI"
Sierraville,-120.36743,39.5896256,sierraville.json,"CZscC8y8CbU,p_VrrCIkIgQ"
Soda Springs,-123.3158409,39.0240651,soda_springs.json,"w6hoHA_pF4s,m1HmJqgtJB0,bFv8bT1ljOw"
Norden,-120.3572124,39.3178273,norden.json,"KC3uOtKE_yY,s3KRguQuFZs,ij8idpL2knk"
Sierra City,-120.6338272,39.5657329,sierra_city.json,"-FkGsFtbRvk,peOmaIgEWVs,CyzAQ0ie9yA"
Beverly Hills,-118.4003562,34.0736204,beverly_hills.json,"xo1ydCntmOs,cielCwd83x8,bTvr_2v-0HI"
Marina del Rey,-118.4508017,33.9774017,marina_del_rey.json,"tYhnAav0-Bo,VdBrPn_fpb8,FrxVqsQFuag"
Truckee,-120.1832532,39.327962,truckee.json,"LLS2LDuI9uo,h04Q9WuuzbU,ITU_WFTzkKg"
Culver City,-118.3964664,34.0211224,culver_city.json,"XoaviTbT--k,07Nzdw6Gg6w,ms4NxXnPHPY"
