"attraction_in","no_of_attractions"
"San Martin","4"
"Morgan Hill","7"
"Mount Hamilton","1"
"Watsonville","7"
"Corralitos","2"
"Aptos","7"
"Firebaugh","1"
"Turlock","6"
"Hilmar","2"
"Modesto","13"
"Riverbank","2"
"Oakdale","6"
"Escalon","2"
"Ripon","4"
"Lathrop","3"
"Manteca","7"
"Tracy","10"
"Vernalis","1"
"Stockton","6"
"Lindsay","1"
"Exeter","3"
"Porterville","5"
"California Hot Springs","1"
"Kernville","7"
"Camp Nelson","1"
"Dunlap","1"
"Seaside","3"
"Pacific Grove","16"
"Pescadero","4"
"San Gregorio","2"
"Half Moon Bay","42"
"Montara","1"
"Pacifica","18"
"Daly City","5"
"Tiburon","18"
"Corte Madera","7"
"San Rafael","14"
"Los Altos Hills","4"
"Orick","4"
"Whiskeytown","7"
"Redwood National Park","3"
"Eureka","21"
"Crescent City","15"
"Smith River","4"
"Samoa","1"
"Myers Flat","1"
"Redway","1"
"Redcrest","1"
"Rio Dell","1"
"Carlotta","1"
"Piercy","3"
"Fortuna","5"
"Ferndale","4"
"Loleta","1"
"Leggett","2"
"Garberville","6"
"Kenwood","2"
"Napa Valley","4"
"American Canyon","5"
"Vallejo","8"
"Bodega Bay","24"
"Occidental","5"
"Marshall","4"
"Inverness","3"
"Point Reyes Station","7"
"Dillon Beach","1"
"Tomales","3"
"Bolinas","4"
"Olema","1"
"Fairfax","1"
"Pine Valley","2"
"Campo","2"
"Alpine","7"
"Descanso","1"
"Julian","9"
"Lakeside","1"
"Santee","3"
"El Cajon","6"
"La Mesa","5"
"Lemon Grove","1"
"San Diego","5272"
"La Jolla","60"
"El Centro","3"
"Ocotillo","5"
"Holtville","1"
"Mexicali","8"
"California Desert","1"
"Palm Desert","30"
"Palm Springs","1420"
"Desert Hot Springs","8"
"Rancho Mirage","15"
"Thousand Palms","1"
"Cathedral City","11"
"Cabazon","2"
"Needles","7"
"Banning","2"
"Cherry Valley","3"
"Beaumont","3"
"Oak Glen","6"
"La Quinta","13"
"Indio","9"
"Coachella","5"
"Indian Wells","5"
"Thermal","1"
"Mecca","3"
"Joshua Tree","10"
"Chiriaco Summit","2"
"Twentynine Palms","11"
"Joshua Tree National Park","11"
"Yucca Valley","8"
"Pioneertown","1"
"Morongo Valley","3"
"Shafter","1"
"Mc Farland","1"
"Taft","4"
"Delano","2"
"Allensworth","1"
"Maricopa","1"
"Lost Hills","1"
"Cholame","2"
"Calexico","1"
"Imperial","1"
"Jamul","5"
"Tijuana","54"
"Imperial Beach","3"
"National City","7"
"Coronado","268"
"Ensenada","72"
"Ensenada Municipality","1"
"Valle de Guadalupe","5"
"San Antonio de las Minas","1"
"Bonita","4"
"Los Barriles","10"
"San Jose del Cabo","148"
"La Paz","114"
"Cabo San Lucas","1734"
"Los Cabos","12"
"Cabo Pulmo","3"
"El Triunfo","1"
"Todos Santos","29"
"El Pescadero","5"
"Santiago","2"
"San Ysidro","3"
"Chula Vista","20"
"Del Mar","9"
"Cardiff-by-the-Sea","2"
"Carlsbad","545"
"San Marcos","9"
"Escondido","32"
"Poway","5"
"Rancho Bernardo","1"
"Valley Center","7"
"Pala","5"
"Temecula","61"
"Winchester","4"
"Hemet","8"
"Menifee","9"
"Perris","5"
"San Jacinto","4"
"Idyllwild","5"
"Fallbrook","13"
"Murrieta","5"
"Pauma Valley","4"
"Santa Ysabel","5"
"Warner Springs","6"
"Aguanga","1"
"Anza","2"
"Oceanside","2"
"Vista","20"
"Encinitas","12"
"Solana Beach","12"
"Ramona","12"
"Bonsall","1"
"Channel Islands National Park","4"
"Santa Barbara","483"
"Summerland","2"
"Carpinteria","6"
"Goleta","10"
"Montecito","2"
